source_id,title,filename,source_type,publisher,revision_date,as_of_date,reliability_tier,use_policy,notes
SRC011,List of EBUS Needles and Bronchoscopic Peripheral Biopsy Tools (U.S. Market),List of EBUS Needles and Bronchoscopic Peripheral Biopsy Tools (U.S. Market).pdf,Secondary AI-generated report,User-provided,,,Tier 4 - secondary / verification required,Discovery only; do not expose a product from this source alone.,Useful market map for EBUS needles and peripheral biopsy tools; exact product numbers and procurement claims require primary-source validation.
SRC012,Olympus EndoTherapy Endoscopic Devices Product Catalog,OAIET0124CAT51005_EndoTherapy Catalog_Interactive_2024.pdf,Manufacturer catalog,Olympus,2024 catalog,2024,Tier 1 - manufacturer,Exact respiratory catalog numbers are eligible for the prototype dropdown; current U.S. availability and IFU compatibility must still be reverified.,"Primary source for Olympus respiratory biopsy forceps, cytology brushes, guide sheaths, TBNA/EBUS needles, Spiration valves, disposable bronchoscopes, retrieval devices, balloon catheters, bite blocks, and cleaning brushes."
SRC013,Micro-Tech GI Endoscopy Devices & Accessories Product Catalog,tracheal-bronchial-stents-catalog.pdf,Manufacturer catalog,Micro-Tech Endoscopy,B-1-201911 Rev. 8.0,2019,Tier 1 - manufacturer / global catalog,"Exact catalog numbers may be stored, but remain hidden from the U.S. prototype dropdown until current U.S. clearance and distribution are confirmed.","Global/older catalog containing straight, Y-shaped, and J-shaped tracheal stents; not treated as evidence of current U.S. availability."
SRC014,Tracheobronchial Stents (U.S. Adult Interventional Pulmonology),Tracheobronchial Stents (U.S. Adult Interventional Pulmonology).pdf,Secondary AI-generated report,User-provided,,,Tier 4 - secondary / verification required,Discovery only; no product should be promoted from this source alone.,Market overview for airway stents and distributors.
SRC015,Ultraflex Tracheobronchial Stent System manufacturer product page,Ultraflex Tracheobronchial Uncovered Stent System - Boston Scientific.pdf,Manufacturer web page capture,Boston Scientific,Captured 2025-06-26,2025-06-26,Tier 1 - manufacturer,Eligible for prototype dropdown for exact order numbers shown; reverify current IFU and availability before production.,Current manufacturer page capture with covered and uncovered Ultraflex ordering information.
SRC016,Y-Shaped Tracheal Stent brochure,Y-Stent-Brochure-2022.pdf,Manufacturer/distributor brochure,Micro-Tech Endoscopy / Thoracent,Rev. 8.22,2022-08,Tier 1 - manufacturer/distributor,"Exact TT-series order numbers are eligible for prototype use, but U.S. regulatory/current commercial status must be reverified before production.","U.S.-facing brochure with exact Y-stent limb dimensions, delivery catheter profile, and package quantity."
SRC017,ERBE Connecting Cables and Adapters,85100-165_Cables-and-adapters.pdf,Manufacturer catalog,Erbe Elektromedizin,2024-05,2024-05,Tier 1 - manufacturer / non-U.S. catalog,Store exact part numbers for reference; hide from U.S. dropdown because the catalog explicitly states it is not intended for U.S. use.,"Non-U.S. catalog for monopolar/bipolar cables, return-electrode cables, adapters, and irrigation/APC accessories."
SRC018,ERBE Instruments and Accessories for Cryosurgery,85100-170_Cryosurgery.pdf,Manufacturer catalog,Erbe Elektromedizin,2023-10,2023-10,Tier 1 - manufacturer / non-U.S. catalog,Store exact part numbers for reference; hide from U.S. dropdown because the catalog explicitly states it is not intended for U.S. use.,"Non-U.S. catalog for ERBECRYO 2 flexible probes, footswitch, cart, gas hoses, adapters, and exhaust hoses."
SRC019,ERBE Instruments and Accessories for Argon Plasma Coagulation,85100-169_APC-accessories.pdf,Manufacturer catalog,Erbe Elektromedizin,2025-06,2025-06,Tier 1 - manufacturer / non-U.S. catalog,Store exact part numbers for reference; hide from U.S. dropdown because the catalog explicitly states it is not intended for U.S. use.,"Non-U.S. catalog for FiAPC/FiAPC plus probes, APC applicators, adapters, test adapters, pressure reducers, cylinders, and argon accessories."
SRC020,Cook Medical Chest Tubes and Catheters for Pleural and Pericardial Drainage,cookmedical.docx,Manufacturer web page capture,Cook Medical,,,Tier 1 - manufacturer,Product-family and SKU identity evidence may be stored; exact configuration remains hidden unless the uploaded source shows the complete order table.,Manufacturer product-page capture identifying several Cook chest drainage sets and accessories by page asset/SKU; many exact size variants still require order-table validation.
SRC021,Richard Wolf Bronchoscopy / Thoracoscopy / Mediastinoscopy Catalog,Richard Wolfe.pdf,Manufacturer catalog,Richard Wolf GmbH,VI25,2025,Tier 1 manufacturer catalog,Exact model and accessory records may be used as source-backed candidates; U.S. availability must be reverified.,Global catalog; product availability varies by country.
SRC022,Endoscopy Accessories Product Catalog,OAIGI0121CAT38678_RA.pdf,Manufacturer catalog,Olympus America,2021,2021,Tier 1 manufacturer catalog,Use exact catalog/model records as source-backed candidates; current commercial status requires recheck.,"U.S. accessories catalog covering workstations, monitors, insufflation, suction, and irrigation."
SRC023,Endobronchial Blocker Sets,CC-BUSCALAM-EBSMP-EN-201407_1654867609049.pdf,Manufacturer brochure,Cook Medical,2014-07,2014-07,Tier 1 manufacturer brochure,Use exact order numbers and compatibility dimensions as source-backed candidates; current availability requires recheck.,Arndt and Cohen endobronchial blocker sets.
SRC024,EchoTip ProCore and EchoTip Ultra Endobronchial HD Ultrasound Needles,CC-WF912959-EN-F_M3_1771864966276.pdf,Manufacturer brochure,Cook Medical,2026-01,2026-01,Tier 1 manufacturer brochure,"Use exact current order numbers and compatibility details for prototype dropdowns, subject to IFU/formulary verification.",Eight EBUS needle configurations with Olympus- and Pentax-specific hubs.
SRC025,Aspira Pleural Drainage Catheter Instructions for Use,404900001EN.pdf,Manufacturer IFU,Merit Medical,2019-01-29,2019-01-29,Tier 1 manufacturer IFU,"Use for system identity, intended use, and component compatibility; exact commercial kit configuration comes from current ordering catalog.",U.S. prescription-device IFU.
SRC026,Rocket IPC U.S. Sales Brochure,RocketMedical-US-IPC-Sales-Brochure-Trifold-v14-web.pdf,Manufacturer brochure,Rocket Medical,2021-09-10,2021-09-10,Tier 1 manufacturer brochure,Use exact U.S. product codes and package quantities as source-backed candidates; current orderability must be rechecked.,U.S. IPC portfolio and accessories.
SRC027,Merit Endotek Pulmonary Product Catalog,405057001.pdf,Manufacturer catalog,Merit Medical,2024-04,2024-04,Tier 1 manufacturer catalog,"Use exact product codes, sizes, and package quantities for prototype dropdowns, subject to current IFU/formulary verification.","AERO/AEROmini/AERO DV, dilation, BAL, VacLok, Aspira, and drainage products."
SRC028,Micro-Tech Endoscopy USA Product Catalog,Product-Catalog-MPW10000H-Rev-5-DIGITAL-3-compressed.pdf,Manufacturer catalog,Micro-Tech Endoscopy USA,Rev 5,2023,Tier 1 manufacturer catalog,Reviewed for pulmonary relevance; do not import GI-only devices into IP dropdowns without a pulmonary indication/source.,No additional pulmonary-labeled products imported from this GI catalog.
SRC029,Olympus Peripheral Bronchoscopy Solutions,E0428710_Diagnosis_SPN_Flyer_EN_2023.pdf,Manufacturer flyer,Olympus Europe,2023-04,2023-04,Tier 1 manufacturer flyer,Use specifications as source-backed candidates; current U.S. availability must be reverified.,"Peripheral bronchoscopy scopes, radial probes, guide sheaths, and sampling accessories."
SRC030,"KARL STORZ THORAX, 3rd Edition 2/2011 US",Karl Storz.pdf,Legacy manufacturer catalog,KARL STORZ Endoscopy-America,2011-02,2011-02,Tier 1 legacy U.S. manufacturer catalog,Retain exact product references for historical/platform identification; hide by default until current U.S. availability and labeling are verified.,Legacy U.S. catalog; includes an explicit list of items not available in the U.S. at publication.
