qa_id,entity_type,entity_id,severity,issue_type,issue,recommended_action,status
QA-7EC669D316,Product,PRD-0F561988AB,High,U.S. regulatory/market status,ERBE 20194-070 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-0CC0B0EFAC,Product,PRD-1062EA74E3,High,U.S. regulatory/market status,ERBE 20196-118 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-E017CE5FB9,Product,PRD-12231F4168,High,Exact configuration incomplete,Cook Medical G56532 has a supported product identity but incomplete exact size/configuration evidence.,Obtain the current manufacturer ordering table and populate every orderable configuration before exposing it.,Open
QA-76347560CE,Product,PRD-138ECF4319,High,Primary source missing,Thoracent / M.I.Tech BTB-104009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-C94C7E8472,Product,PRD-13EE4FE542,High,Primary source missing,Thoracent / M.I.Tech BTB-167009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-2AF54A3687,Product,PRD-1425225614,High,U.S. regulatory/market status,ERBE 20183-071 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-39BA838E7A,Product,PRD-148F8BC5BA,High,Primary source missing,Micro-Tech Endoscopy ST05-152.16.040 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-3DF93AA502,Product,PRD-14ED7EA20B,High,U.S. regulatory/market status,ERBE 20192-132 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-D7C92BE243,Product,PRD-16A5369871,High,Primary source missing,Medtronic 6CN75ED remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-6FA1640856,Product,PRD-1708F37D2C,High,U.S. regulatory/market status,ERBE 20132-252 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-1478165979,Product,PRD-184B3719A2,High,Primary source missing,Merit Medical APS-100 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-0FEEDA27CD,Product,PRD-19BAA6E1D6,High,U.S. regulatory/market status,ERBE 20132-323 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-F668AAEFE0,Product,PRD-19D03D9B14,High,U.S. regulatory/market status,ERBE 20196-047 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-1C6452F6E4,Product,PRD-1A152615A0,High,Primary source missing,VisionAir Solutions CUSTOM-SERVICE remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-52667242B3,Product,PRD-1BD0F9BD70,High,U.S. regulatory/market status,ERBE 20134-003 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-6034CDCADC,Product,PRD-1CBA97E863,High,Primary source missing,Ethicon 2230 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-3C4220CAA1,Product,PRD-1CCEDCCC76,High,Exact configuration incomplete,Cook Medical G05297 has a supported product identity but incomplete exact size/configuration evidence.,Obtain the current manufacturer ordering table and populate every orderable configuration before exposing it.,Open
QA-0B00313090,Product,PRD-1DDAD96A7B,High,U.S. regulatory/market status,ERBE 20196-106 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-8395578E8F,Product,PRD-1F48992C6C,High,Primary source missing,Cardinal Health 8888570523 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-62D9FB29F8,Product,PRD-207F57235E,High,U.S. regulatory/market status,ERBE 20134-001 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-1147D1C2BC,Product,PRD-20CB4910F8,High,Primary source missing,TRACOE 888-322 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-ED72A40A75,Product,PRD-21F6CB5BAC,High,U.S. regulatory/market status,ERBE 20132-321 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-075C314DB5,Product,PRD-2218769436,High,U.S. regulatory/market status,ERBE 20132-254 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-12A7556517,Product,PRD-241DE5F6DF,High,U.S. regulatory/market status,ERBE 20192-133 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-E772A3E07A,Product,PRD-24DF8E0987,High,U.S. regulatory/market status,ERBE 20192-099 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-83678EB29F,Product,PRD-2663A0A0F5,High,Primary source missing,Medtronic 10CN10ED remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-40EB6FDC78,Product,PRD-27460DB568,High,U.S. regulatory/market status,ERBE 20183-067 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-31AA3F77FF,Product,PRD-27506A7423,High,Primary source missing,Boston Scientific M00542751 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-29519EEDFB,Product,PRD-27BD1F9DB6,High,U.S. regulatory/market status,ERBE 20192-094 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-52C375FCDE,Product,PRD-27BE0EC96A,High,U.S. regulatory/market status,ERBE 20194-089 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-5E409BA6BF,Product,PRD-27CF357590,High,Primary source missing,Ethicon 2226 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-0A47210104,Product,PRD-293EEBCDF0,High,U.S. regulatory/market status,ERBE 20134-007 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-E0882D8EAC,Product,PRD-2CE58D8A14,High,Primary source missing,Ethicon 2227 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-39C31C8AD3,Product,PRD-2CEB73CB15,High,Primary source missing,Thoracent / M.I.Tech BTB-163009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-240B57EAFE,Product,PRD-2D588804C5,High,Primary source missing,Micro-Tech Endoscopy ST05-155.20.050 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-D9B18C8D2B,Product,PRD-3097FD9A2E,High,U.S. regulatory/market status,ERBE 20410-004 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-5E1E1244EE,Product,PRD-31DA7C7FF7,High,Primary source missing,BD PIG1260T remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-54F4CD7748,Product,PRD-3353BDD6CD,High,U.S. regulatory/market status,ERBE 20196-063 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-FD59F459B7,Product,PRD-34598AB94A,High,Primary source missing,Thoracent / M.I.Tech BTB-203009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-D523A663DD,Product,PRD-36D0F6CBA0,High,Primary source missing,Ethicon 2215 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-3C0452A239,Product,PRD-3A183102CF,High,U.S. regulatory/market status,ERBE 20132-223 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-296A0FDF2B,Product,PRD-3A27A7B76D,High,Primary source missing,Cardinal Health 8888570531 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-2259458CAF,Product,PRD-3CAAB4D79C,High,U.S. regulatory/market status,ERBE 20134-004 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-9DEC6CF251,Product,PRD-3EDAA08D62,High,Primary source missing,Cardinal Health 8888570515 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-8EAC8B5761,Product,PRD-40F16EE5D5,High,Primary source missing,EFER BD2410-3 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-805668E0ED,Product,PRD-40F9EDE43C,High,U.S. regulatory/market status,ERBE 20183-102 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-D8853F4B09,Product,PRD-415D12A635,High,U.S. regulatory/market status,ERBE 20194-079 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-7E6004297A,Product,PRD-41BA4FDFE6,High,Primary source missing,BD 50-7510 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-F636C1D906,Product,PRD-4423366610,High,Primary source missing,BD 50-7290A remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-8B83E3E9E9,Product,PRD-456C006CCE,High,U.S. regulatory/market status,ERBE 20132-087 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-FA3040710C,Product,PRD-470EA6C7BA,High,Primary source missing,Thoracent / M.I.Tech BTB-184009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-E0B2A2A591,Product,PRD-486F6703A9,High,U.S. regulatory/market status,ERBE 20196-055 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-DF54D74F2B,Product,PRD-4896D3D636,High,U.S. regulatory/market status,ERBE 20196-127 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-53186D8535,Product,PRD-49A7F962D0,High,Primary source missing,Cook Medical G07242 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-D83599B710,Product,PRD-4A04124FF2,High,Primary source missing,Olympus BF-1TH190 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-4A63A3B382,Product,PRD-4A3F2CCBBF,High,Primary source missing,Micro-Tech / Thoracent BU49221 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-FF4C15093F,Product,PRD-4AECEED0C8,High,Primary source missing,Thoracent / M.I.Tech BTB-185009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-797A83F280,Product,PRD-4D06DCE96B,High,U.S. regulatory/market status,ERBE 20194-080 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-D4FFFB94AE,Product,PRD-4E9412A49F,High,U.S. regulatory/market status,ERBE 20132-324 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-BE7F8F85B8,Product,PRD-5070336E33,High,Primary source missing,Novatech 01TD16100 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-6B8D2CF29F,Product,PRD-509226DE95,High,Primary source missing,Medtronic 8UN85H remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-B17FF193B8,Product,PRD-5255AADD2C,High,Primary source missing,Thoracent / M.I.Tech BTB-162009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-96C77F369A,Product,PRD-52C5BEC3A1,High,Primary source missing,Medtronic 125041 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-C21D09A732,Product,PRD-535FE6B186,High,U.S. regulatory/market status,ERBE 20196-107 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-058BF0346C,Product,PRD-5445BFA070,High,U.S. regulatory/market status,ERBE 20132-221 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-2FF210C370,Product,PRD-55D98AAFB1,High,U.S. regulatory/market status,ERBE 21196-119 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-84FCD36720,Product,PRD-55E5D08ADC,High,U.S. regulatory/market status,ERBE 20134-005 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-192CC7CC3F,Product,PRD-56932BDE51,High,Primary source missing,Thoracent / M.I.Tech BTB-186009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-AEBD46DD03,Product,PRD-574BC79D2B,High,U.S. regulatory/market status,ERBE 20183-066 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-3444EFCACA,Product,PRD-57A313D4DB,High,U.S. regulatory/market status,ERBE 20196-057 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-3632EC6A17,Product,PRD-5AB3F8988B,High,U.S. regulatory/market status,ERBE 20132-325 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-4E06465880,Product,PRD-5AEEF62066,High,U.S. regulatory/market status,ERBE 20402-061 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-F4C56F789E,Product,PRD-5C46BC7DA9,High,Primary source missing,Novatech 01Y161313 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-3CA863F1A0,Product,PRD-5CD3FA131B,High,U.S. regulatory/market status,ERBE 21196-118 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-478512343B,Product,PRD-5DFC2E8E8B,High,U.S. regulatory/market status,ERBE 20402-202 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-B98A975E59,Product,PRD-609D197124,High,Primary source missing,Micro-Tech / Thoracent BU49251 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-CDDD75503D,Product,PRD-62E4A72F9D,High,Primary source missing,Novatech 01TD1260 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
